GeneSymbol_Mouse,GeneSymbol_Human,Source,Daneman_Filter,In_Walchli_EC,In_Yang_EC,In_Winkler_EC,Human_BBB_Datasets_N,HumanEnsembl,MouseEnsembl,Mouse_OrthoType,Mouse_PercId,MacaqueEnsembl,Macaque_OrthoType,Macaque_PercId,Human_Biotype,Mouse_Biotype,Macaque_Biotype,Human_NonCoding,Mouse_NonCoding,Macaque_NonCoding,Any_NonCoding
Def6,DEF6,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000023892,ENSMUSG00000002257,ortholog_one2one,92.393,ENSMMUG00000023560,ortholog_one2one,98.8906,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Degs1,DEGS1,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000143753,ENSMUSG00000038768,ortholog_one2many,73.065,ENSMMUG00000002400,ortholog_one2one,97.5232,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Degs1,DEGS1,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000143753,ENSMUSG00000038633,ortholog_one2many,85.4489,ENSMMUG00000002400,ortholog_one2one,97.5232,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Degs2,DEGS2,Both,liver_only,TRUE,FALSE,TRUE,2,ENSG00000168350,ENSMUSG00000021263,ortholog_one2one,86.3777,ENSMMUG00000062581,ortholog_one2one,96.904,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Dennd2a,DENND2A,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1,ENSG00000146966,ENSMUSG00000038456,ortholog_one2one,82.2597,ENSMMUG00000042299,ortholog_one2one,96.0357,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Dera,DERA,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000023697,ENSMUSG00000030225,ortholog_one2one,92.1384,ENSMMUG00000013309,ortholog_one2one,99.0566,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Dhcr7,DHCR7,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000172893,ENSMUSG00000058454,ortholog_one2one,88,ENSMMUG00000011976,ortholog_one2one,97.2632,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Diap1,DIAPH1,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000131504,ENSMUSG00000024456,ortholog_one2one,90.0157,ENSMMUG00000021964,ortholog_one2one,94.0252,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Dixdc1,DIXDC1,Both,liver_only,TRUE,FALSE,FALSE,1,ENSG00000150764,ENSMUSG00000032064,ortholog_one2one,91.508,ENSMMUG00000017565,ortholog_one2one,98.3895,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Dll1,DLL1,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000275555,NA,NA,NA,NA,NA,NA,protein_coding,NA,NA,FALSE,FALSE,FALSE,FALSE
Dll4,DLL4,Daneman,lung_only,TRUE,FALSE,TRUE,2,ENSG00000128917,ENSMUSG00000027314,ortholog_one2one,86.4234,ENSMMUG00000014541,ortholog_one2one,99.1241,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Dmd,DMD,Daneman,liver_and_lung,TRUE,FALSE,TRUE,2,ENSG00000198947,ENSMUSG00000045103,ortholog_one2one,91.0991,ENSMMUG00000019345,ortholog_one2one,98.3718,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Dmxl2,DMXL2,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000104093,ENSMUSG00000041268,ortholog_one2one,92.7731,ENSMMUG00000000754,ortholog_one2one,98.7901,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Dnaja4,DNAJA4,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000140403,ENSMUSG00000032285,ortholog_one2one,93.199,ENSMMUG00000014204,ortholog_one2one,98.4887,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Dnajb1,DNAJB1,Daneman,liver_only,TRUE,FALSE,TRUE,2,ENSG00000132002,ENSMUSG00000005483,ortholog_one2one,94.7059,ENSMMUG00000017906,ortholog_one2one,98.5294,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Dnajc14,DNAJC14,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000135392,ENSMUSG00000025354,ortholog_one2one,85.755,ENSMMUG00000062702,ortholog_one2many,31.6239,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Dnajc14,DNAJC14,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000135392,ENSMUSG00000025354,ortholog_one2one,85.755,ENSMMUG00000006293,ortholog_one2many,97.8633,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Dnmt3b,DNMT3B,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000088305,ENSMUSG00000082079,ortholog_one2many,67.7608,ENSMMUG00000019474,ortholog_one2one,96.8347,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Dnmt3b,DNMT3B,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000088305,ENSMUSG00000027478,ortholog_one2many,83.939,ENSMMUG00000019474,ortholog_one2one,96.8347,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Dock10,DOCK10,Daneman,liver_and_lung,TRUE,FALSE,TRUE,2,ENSG00000135905,ENSMUSG00000038608,ortholog_one2one,92.9552,ENSMMUG00000018139,ortholog_one2one,97.6212,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Dock11,DOCK11,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000147251,ENSMUSG00000031093,ortholog_one2one,96.6233,ENSMMUG00000011498,ortholog_one2one,99.6623,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Dok4,DOK4,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000125170,ENSMUSG00000040631,ortholog_one2one,98.1595,ENSMMUG00000020475,ortholog_one2one,100,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Dsp,DSP,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000096696,ENSMUSG00000054889,ortholog_one2one,95.0192,ENSMMUG00000014784,ortholog_one2one,98.7809,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Dusp2,DUSP2,Daneman,lung_only,TRUE,FALSE,TRUE,2,ENSG00000158050,ENSMUSG00000027368,ortholog_one2one,87.5796,ENSMMUG00000049314,ortholog_one2one,96.4968,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Dusp4,DUSP4,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000120875,ENSMUSG00000031530,ortholog_one2one,96.9543,ENSMMUG00000049727,ortholog_one2one,99.2386,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Dusp6,DUSP6,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000139318,ENSMUSG00000019960,ortholog_one2one,98.1627,ENSMMUG00000054968,ortholog_one2one,99.7375,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Dut,DUT,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000128951,ENSMUSG00000027203,ortholog_one2one,54.7619,ENSMMUG00000059727,ortholog_one2many,61.5079,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Dut,DUT,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000128951,ENSMUSG00000027203,ortholog_one2one,54.7619,ENSMMUG00000016898,ortholog_one2many,93.254,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Dvl1,DVL1,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000107404,ENSMUSG00000029071,ortholog_one2one,94.964,ENSMMUG00000007109,ortholog_one2one,98.9928,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Dvl3,DVL3,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000161202,ENSMUSG00000003233,ortholog_one2one,98.1844,ENSMMUG00000006553,ortholog_one2one,99.8603,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Dyrk2,DYRK2,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000127334,ENSMUSG00000028630,ortholog_one2one,97.005,ENSMMUG00000011650,ortholog_one2one,99.6672,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Dysf,DYSF,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000135636,ENSMUSG00000033788,ortholog_one2one,92.9684,ENSMMUG00000007176,ortholog_one2one,96.8381,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Ebf1,EBF1,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000164330,ENSMUSG00000057098,ortholog_one2one,100,ENSMMUG00000021696,ortholog_one2one,100,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Edn1,EDN1,Daneman,liver_only,TRUE,FALSE,TRUE,2,ENSG00000078401,ENSMUSG00000021367,ortholog_one2one,69.3396,ENSMMUG00000051532,ortholog_one2one,93.3962,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Edn3,EDN3,Munji,NA,TRUE,FALSE,TRUE,2,ENSG00000124205,ENSMUSG00000027524,ortholog_one2one,53.7815,ENSMMUG00000016131,ortholog_one2one,81.0924,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Ednra,EDNRA,Daneman,liver_and_lung,TRUE,FALSE,TRUE,2,ENSG00000151617,ENSMUSG00000031616,ortholog_one2one,92.2717,ENSMMUG00000003659,ortholog_one2one,98.829,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Eef2,EEF2,Daneman,lung_only,TRUE,FALSE,TRUE,2,ENSG00000167658,ENSMUSG00000034994,ortholog_one2one,99.0676,ENSMMUG00000022767,ortholog_one2one,99.8835,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Efhc2,EFHC2,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000183690,ENSMUSG00000025038,ortholog_one2one,74.2323,ENSMMUG00000016391,ortholog_one2one,95.7276,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Efhd2,EFHD2,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1,ENSG00000142634,ENSMUSG00000040659,ortholog_one2one,94.1667,ENSMMUG00000050246,ortholog_one2one,100,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Efnb1,EFNB1,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000090776,ENSMUSG00000031217,ortholog_one2one,95.6647,ENSMMUG00000020965,ortholog_one2one,97.6879,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Efr3b,EFR3B,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000084710,ENSMUSG00000020658,ortholog_one2one,97.552,ENSMMUG00000016461,ortholog_one2one,100,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Eftud2,EFTUD2,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000108883,ENSMUSG00000020929,ortholog_one2one,99.3827,ENSMMUG00000013118,ortholog_one2one,99.8971,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Egfl8,EGFL8,Daneman,lung_only,TRUE,FALSE,TRUE,2,ENSG00000240389,NA,NA,NA,NA,NA,NA,protein_coding,NA,NA,FALSE,FALSE,FALSE,FALSE
Egr3,EGR3,Munji,NA,TRUE,FALSE,TRUE,2,ENSG00000179388,ENSMUSG00000033730,ortholog_one2one,98.9664,ENSMMUG00000058396,ortholog_one2one,86.8217,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Eif2b2,EIF2B2,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000119718,ENSMUSG00000004788,ortholog_one2one,94.0171,ENSMMUG00000002910,ortholog_one2one,99.1453,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Eif2s2,EIF2S2,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000125977,ENSMUSG00000074656,ortholog_one2one,95.4955,ENSMMUG00000018095,ortholog_one2one,98.7988,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Eif4a1,EIF4A1,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000161960,ENSMUSG00000059796,ortholog_one2one,100,ENSMMUG00000056722,ortholog_one2one,84.9754,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Eif4e2,EIF4E2,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000135930,ENSMUSG00000026254,ortholog_one2one,88.9796,ENSMMUG00000022151,ortholog_one2many,100,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Eif4e2,EIF4E2,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000135930,ENSMUSG00000026254,ortholog_one2one,88.9796,ENSMMUG00000046892,ortholog_one2many,70.6122,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Eif5,EIF5,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000100664,ENSMUSG00000021282,ortholog_one2one,97.2158,ENSMMUG00000005630,ortholog_one2one,99.0719,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Eif5a,EIF5A,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000288145,NA,NA,NA,NA,NA,NA,protein_coding,NA,NA,FALSE,FALSE,FALSE,FALSE
Elavl1,ELAVL1,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1,ENSG00000066044,ENSMUSG00000040028,ortholog_one2one,98.4663,ENSMMUG00000006544,ortholog_one2one,100,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Elovl6,ELOVL6,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000170522,ENSMUSG00000041220,ortholog_one2one,96.9811,ENSMMUG00000050694,ortholog_one2one,98.1132,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Elovl7,ELOVL7,Both,liver_only,TRUE,FALSE,TRUE,2,ENSG00000164181,ENSMUSG00000021696,ortholog_one2one,88.6121,ENSMMUG00000014211,ortholog_one2one,96.7971,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Eltd1,ELTD1,Daneman,liver_only,FALSE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
Eml2,EML2,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000125746,ENSMUSG00000040811,ortholog_one2one,94.1448,ENSMMUG00000038377,ortholog_one2one,83.6672,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Emp2,EMP2,Daneman,liver_only,TRUE,FALSE,TRUE,2,ENSG00000213853,ENSMUSG00000022505,ortholog_one2one,77.8443,ENSMMUG00000060713,ortholog_one2one,93.4132,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Enc1,ENC1,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000171617,ENSMUSG00000041773,ortholog_one2one,99.3209,ENSMMUG00000019996,ortholog_one2one,99.8302,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Enpep,ENPEP,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1,ENSG00000138792,ENSMUSG00000028024,ortholog_one2one,77.2205,ENSMMUG00000005517,ortholog_one2one,97.4922,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Enpp4,ENPP4,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000001561,ENSMUSG00000023961,ortholog_one2one,82.34,ENSMMUG00000042260,ortholog_one2one,97.5717,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Eny2,ENY2,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000120533,ENSMUSG00000022338,ortholog_one2one,95.0495,ENSMMUG00000056202,ortholog_one2one,100,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Epb4.1l2,EPB41L2,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1,ENSG00000079819,ENSMUSG00000019978,ortholog_one2one,82.2886,ENSMMUG00000007758,ortholog_one2one,97.7114,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Epc1,EPC1,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000120616,ENSMUSG00000024240,ortholog_one2one,92.8659,ENSMMUG00000012451,ortholog_one2one,99.754,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Epc2,EPC2,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000135999,ENSMUSG00000069495,ortholog_one2one,97.026,ENSMMUG00000023176,ortholog_one2one,96.9021,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Epha4,EPHA4,Daneman,liver_only,TRUE,FALSE,TRUE,2,ENSG00000116106,ENSMUSG00000026235,ortholog_one2one,98.5801,ENSMMUG00000012364,ortholog_one2one,99.7972,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Ephx1,EPHX1,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000143819,ENSMUSG00000038776,ortholog_one2one,83.5165,ENSMMUG00000005782,ortholog_one2one,88.7912,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Eps8,EPS8,Daneman,liver_and_lung,TRUE,FALSE,TRUE,2,ENSG00000151491,ENSMUSG00000015766,ortholog_one2one,89.0511,ENSMMUG00000020431,ortholog_one2one,95.4988,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Eps8l2,EPS8L2,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000177106,ENSMUSG00000025504,ortholog_one2one,85.8741,ENSMMUG00000017483,ortholog_one2one,94.1259,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Erg,ERG,Munji,NA,TRUE,FALSE,TRUE,2,ENSG00000157554,ENSMUSG00000040732,ortholog_one2one,96.4509,ENSMMUG00000010296,ortholog_one2one,99.3737,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Erh,ERH,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000100632,ENSMUSG00000063412,ortholog_one2many,100,ENSMMUG00000021571,ortholog_one2one,100,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Erh,ERH,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000100632,ENSMUSG00000021131,ortholog_one2many,100,ENSMMUG00000021571,ortholog_one2one,100,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Ern1,ERN1,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000178607,ENSMUSG00000020715,ortholog_one2one,93.1423,ENSMMUG00000015185,ortholog_one2one,98.9765,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Ero1lb,ERO1LB,Daneman,liver_only,FALSE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
Erp29,ERP29,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000089248,ENSMUSG00000029616,ortholog_one2one,88.5057,ENSMMUG00000054840,ortholog_one2many,97.7011,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Erp29,ERP29,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000089248,ENSMUSG00000029616,ortholog_one2one,88.5057,ENSMMUG00000037458,ortholog_one2many,97.7011,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Esco1,ESCO1,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000141446,ENSMUSG00000024293,ortholog_one2one,76.5476,ENSMMUG00000012987,ortholog_one2one,96.4286,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Esm1,ESM1,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000164283,ENSMUSG00000042379,ortholog_one2one,75,ENSMMUG00000020169,ortholog_one2one,95.6522,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Esyt2,ESYT2,Munji,NA,TRUE,FALSE,TRUE,2,ENSG00000117868,ENSMUSG00000021171,ortholog_one2one,90.3002,ENSMMUG00000022361,ortholog_one2one,96.0739,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Etf1,ETF1,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000120705,ENSMUSG00000024360,ortholog_one2one,100,ENSMMUG00000005871,ortholog_one2one,100,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Etv1,ETV1,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1,ENSG00000006468,ENSMUSG00000004151,ortholog_one2one,97.9036,ENSMMUG00000039167,ortholog_one2one,97.2746,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Evl,EVL,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000196405,ENSMUSG00000021262,ortholog_one2one,88.2775,ENSMMUG00000015434,ortholog_one2one,77.7512,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Evpl,EVPL,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000167880,ENSMUSG00000034282,ortholog_one2one,82.8824,ENSMMUG00000001790,ortholog_one2one,96.4092,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Exoc8,EXOC8,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1,ENSG00000116903,ENSMUSG00000074030,ortholog_one2one,92.8276,ENSMMUG00000005243,ortholog_one2one,99.5862,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Ext1,EXT1,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000182197,ENSMUSG00000061731,ortholog_one2one,99.3298,ENSMMUG00000008635,ortholog_one2one,99.866,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Extl3,EXTL3,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000012232,ENSMUSG00000021978,ortholog_one2one,97.3885,ENSMMUG00000017700,ortholog_one2one,99.5647,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Ezh1,EZH1,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000108799,ENSMUSG00000006920,ortholog_one2one,97.8581,ENSMMUG00000006093,ortholog_one2one,99.7323,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Ezh2,EZH2,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000106462,ENSMUSG00000029687,ortholog_one2one,97.6032,ENSMMUG00000013494,ortholog_one2one,99.2011,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
F2r,F2R,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000181104,ENSMUSG00000048376,ortholog_one2one,79.0588,ENSMMUG00000039522,ortholog_one2one,97.6471,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
F5,F5,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000198734,ENSMUSG00000026579,ortholog_one2one,68.4802,ENSMMUG00000042510,ortholog_one2one,90.5576,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Fabp5,FABP5,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000164687,ENSMUSG00000027533,ortholog_one2one,80,NA,NA,NA,protein_coding,protein_coding,NA,FALSE,FALSE,FALSE,FALSE
Fabp7,FABP7,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000164434,ENSMUSG00000019874,ortholog_one2one,78.7879,ENSMMUG00000064586,ortholog_one2one,97.7273,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Fads1,FADS1,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000149485,ENSMUSG00000010663,ortholog_one2one,78.6427,ENSMMUG00000013798,ortholog_one2one,84.0319,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Fads2,FADS2,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000134824,ENSMUSG00000024665,ortholog_one2one,87.6126,ENSMMUG00000000327,ortholog_one2one,86.036,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Fads3,FADS3,Daneman,liver_and_lung,TRUE,FALSE,TRUE,2,ENSG00000221968,ENSMUSG00000024664,ortholog_one2one,89.8876,ENSMMUG00000000328,ortholog_one2one,99.3258,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Faim,FAIM,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000158234,ENSMUSG00000032463,ortholog_one2many,90.5473,ENSMMUG00000008664,ortholog_one2one,97.0149,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Faim,FAIM,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000158234,ENSMUSG00000096316,ortholog_one2many,67.6617,ENSMMUG00000008664,ortholog_one2one,97.0149,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Grrp1,FAM110D,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000197245,ENSMUSG00000050105,ortholog_one2one,86.3469,ENSMMUG00000045223,ortholog_one2one,97.786,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Fam118a,FAM118A,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000100376,ENSMUSG00000022434,ortholog_one2one,92.437,ENSMMUG00000023003,ortholog_one2one,94.1176,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Fam129b,FAM129B,Munji,NA,TRUE,FALSE,FALSE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
Fam134c,FAM134C,Munji,NA,FALSE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
Fam13c,FAM13C,Munji,NA,TRUE,FALSE,TRUE,2,ENSG00000148541,ENSMUSG00000043259,ortholog_one2one,83.7607,ENSMMUG00000003706,ortholog_one2one,95.5556,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Fam63a,FAM63A,Munji,NA,FALSE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
Fam71a,FAM71A,Munji,NA,TRUE,FALSE,FALSE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
Far2,FAR2,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000064763,ENSMUSG00000030303,ortholog_one2one,87.9612,ENSMMUG00000015810,ortholog_one2one,95.534,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
