GeneSymbol_Mouse,GeneSymbol_Human,Source,Daneman_Filter,HumanEnsembl,MouseEnsembl,MacaqueEnsembl
Clic5,CLIC5,Daneman,liver_only,ENSG00000112782,ENSMUSG00000023959,ENSMMUG00000003511
Clock,CLOCK,Daneman,liver_only,ENSG00000134852,ENSMUSG00000029238,ENSMMUG00000001919
Clstn1,CLSTN1,Daneman,liver_only,ENSG00000171603,ENSMUSG00000039953,ENSMMUG00000006225
Clta,CLTA,Daneman,lung_only,ENSG00000122705,ENSMUSG00000028478,ENSMMUG00000006132
Cnih4,CNIH4,Daneman,liver_only,ENSG00000143771,ENSMUSG00000062169,ENSMMUG00000063959
Cnn3,CNN3,Daneman,lung_only,ENSG00000117519,ENSMUSG00000053931,ENSMMUG00000001690
Cnnm2,CNNM2,Munji,NA,ENSG00000148842,ENSMUSG00000064105,ENSMMUG00000003747
Cnot6l,CNOT6L,Munji,NA,ENSG00000138767,ENSMUSG00000034724,ENSMMUG00000045609
Cnot8,CNOT8,Daneman,lung_only,ENSG00000155508,ENSMUSG00000020515,ENSMMUG00000008318
Cnr2,CNR2,Daneman,lung_only,ENSG00000188822,ENSMUSG00000062585,ENSMMUG00000004217
Cntrob,CNTROB,Munji,NA,ENSG00000170037,ENSMUSG00000032782,ENSMMUG00000022225
Cobll1,COBLL1,Munji,NA,ENSG00000082438,ENSMUSG00000034903,ENSMMUG00000009400
Col14a1,COL14A1,Daneman,liver_only,ENSG00000187955,ENSMUSG00000022371,ENSMMUG00000002595
Col18a1,COL18A1,Daneman,lung_only,ENSG00000182871,ENSMUSG00000001435,ENSMMUG00000004472
Col1a2,COL1A2,Daneman,liver_and_lung,ENSG00000164692,ENSMUSG00000029661,ENSMMUG00000039654
Col3a1,COL3A1,Daneman,liver_and_lung,ENSG00000291748,NA,NA
Col3a1,COL3A1,Daneman,liver_and_lung,ENSG00000168542,ENSMUSG00000026043,ENSMMUG00000021286
Col4a2,COL4A2,Daneman,lung_only,ENSG00000134871,ENSMUSG00000031503,ENSMMUG00000022282
Col4a3bp,COL4A3BP,Both,liver_only,NA,NA,NA
Col5a2,COL5A2,Daneman,liver_and_lung,ENSG00000204262,ENSMUSG00000026042,ENSMMUG00000021290
Gm684,COLCA2,Munji,NA,NA,NA,NA
Commd3,COMMD3,Daneman,lung_only,ENSG00000148444,ENSMUSG00000051154,NA
Commd4,COMMD4,Daneman,lung_only,ENSG00000140365,ENSMUSG00000032299,ENSMMUG00000047011
Commd8,COMMD8,Daneman,lung_only,ENSG00000169019,ENSMUSG00000029213,ENSMMUG00000021777
Cops4,COPS4,Daneman,lung_only,ENSG00000138663,ENSMUSG00000035297,ENSMMUG00000022312
Cops5,COPS5,Daneman,lung_only,ENSG00000121022,ENSMUSG00000025917,ENSMMUG00000006281
Cops6,COPS6,Daneman,lung_only,ENSG00000168090,ENSMUSG00000019494,ENSMMUG00000013440
Copz2,COPZ2,Daneman,liver_only,ENSG00000005243,ENSMUSG00000018672,ENSMMUG00000021934
Coq7,COQ7,Daneman,lung_only,ENSG00000167186,ENSMUSG00000030652,ENSMMUG00000011613
Coro1a,CORO1A,Daneman,lung_only,ENSG00000102879,ENSMUSG00000030707,ENSMMUG00000007329
Coro1c,CORO1C,Daneman,lung_only,ENSG00000110880,ENSMUSG00000004530,ENSMMUG00000000512
Cotl1,COTL1,Daneman,lung_only,ENSG00000103187,ENSMUSG00000031827,ENSMMUG00000053589
Cp,CP,Daneman,liver_only,ENSG00000047457,ENSMUSG00000003617,ENSMMUG00000005529
Cpd,CPD,Daneman,liver_only,ENSG00000108582,ENSMUSG00000020841,ENSMMUG00000037644
Cpe,CPE,Daneman,lung_only,ENSG00000109472,ENSMUSG00000037852,ENSMMUG00000023400
Cpm,CPM,Daneman,liver_and_lung,ENSG00000135678,ENSMUSG00000020183,ENSMMUG00000000946
Crem,CREM,Daneman,lung_only,ENSG00000095794,ENSMUSG00000063889,ENSMMUG00000022508
Crim1,CRIM1,Daneman,liver_only,ENSG00000277354,NA,NA
Crim1,CRIM1,Daneman,liver_only,ENSG00000150938,ENSMUSG00000024074,ENSMMUG00000048261
Crip1,CRIP1,Daneman,liver_only,ENSG00000213145,ENSMUSG00000006360,ENSMMUG00000056589
Crispld1,CRISPLD1,Daneman,liver_only,ENSG00000121005,ENSMUSG00000025776,ENSMMUG00000011040
Crispld2,CRISPLD2,Daneman,liver_and_lung,ENSG00000103196,ENSMUSG00000031825,ENSMMUG00000011245
Crk,CRK,Daneman,lung_only,ENSG00000167193,ENSMUSG00000017776,ENSMMUG00000040390
Crmp1,CRMP1,Daneman,lung_only,ENSG00000072832,ENSMUSG00000029121,ENSMMUG00000019563
Csf1,CSF1,Daneman,lung_only,ENSG00000184371,ENSMUSG00000014599,ENSMMUG00000002680
Csnk1a1,CSNK1A1,Daneman,liver_only,ENSG00000113712,ENSMUSG00000024576,ENSMMUG00000001758
Csnk1d,CSNK1D,Daneman,lung_only,ENSG00000141551,ENSMUSG00000025162,ENSMMUG00000018329
Csnk1g2,CSNK1G2,Daneman,lung_only,ENSG00000133275,ENSMUSG00000003345,ENSMMUG00000006620
Csnk2b,CSNK2B,Daneman,lung_only,ENSG00000204435,ENSMUSG00000024387,NA
Csnk2b,CSNK2B,Daneman,lung_only,ENSG00000230700,NA,NA
Csnk2b,CSNK2B,Daneman,lung_only,ENSG00000224774,NA,NA
Csnk2b,CSNK2B,Daneman,lung_only,ENSG00000228875,NA,NA
Csnk2b,CSNK2B,Daneman,lung_only,ENSG00000232960,NA,NA
Csnk2b,CSNK2B,Daneman,lung_only,ENSG00000224398,NA,NA
Csnk2b,CSNK2B,Daneman,lung_only,ENSG00000206406,NA,NA
Cspg4,CSPG4,Daneman,liver_and_lung,ENSG00000173546,ENSMUSG00000032911,ENSMMUG00000016104
Csrp1,CSRP1,Daneman,lung_only,ENSG00000159176,ENSMUSG00000026421,ENSMMUG00000020772
Csrp2,CSRP2,Daneman,lung_only,ENSG00000175183,ENSMUSG00000020186,ENSMMUG00000018257
Cstf2t,CSTF2T,Daneman,liver_only,ENSG00000177613,ENSMUSG00000053536,ENSMMUG00000058901
Ctdspl,CTDSPL,Daneman,liver_and_lung,ENSG00000144677,ENSMUSG00000047409,ENSMMUG00000002907
Ctgf,CTGF,Daneman,liver_only,NA,NA,NA
Ctnnbl1,CTNNBL1,Daneman,lung_only,ENSG00000132792,ENSMUSG00000027649,ENSMMUG00000017224
Ctnnd2,CTNND2,Daneman,liver_only,ENSG00000169862,ENSMUSG00000022240,ENSMMUG00000023419
Ctsk,CTSK,Daneman,lung_only,ENSG00000143387,ENSMUSG00000028111,NA
Ctsw,CTSW,Daneman,lung_only,ENSG00000172543,ENSMUSG00000024910,ENSMMUG00000008649
Cuedc1,CUEDC1,Daneman,liver_only,ENSG00000180891,ENSMUSG00000018378,ENSMMUG00000009228
Cwf19l2,CWF19L2,Daneman,liver_only,ENSG00000152404,ENSMUSG00000025898,ENSMMUG00000013724
Cx3cl1,CX3CL1,Daneman,liver_only,ENSG00000006210,ENSMUSG00000031778,ENSMMUG00000059578
Cxcl12,CXCL12,Both,liver_only,ENSG00000107562,ENSMUSG00000061353,ENSMMUG00000012181
Cxcl1,CXCL2,Daneman,lung_only,ENSG00000081041,NA,NA
Cxcl2,CXCL3,Daneman,lung_only,ENSG00000163734,ENSMUSG00000029380,ENSMMUG00000051444
Cxcl2,CXCL3,Daneman,lung_only,ENSG00000163734,ENSMUSG00000029379,ENSMMUG00000051444
Cxcl2,CXCL3,Daneman,lung_only,ENSG00000163734,ENSMUSG00000058427,ENSMMUG00000051444
Cxcr4,CXCR4,Daneman,lung_only,ENSG00000121966,ENSMUSG00000045382,ENSMMUG00000011918
Cxxc5,CXXC5,Daneman,lung_only,ENSG00000171604,ENSMUSG00000046668,ENSMMUG00000001941
Cyb561,CYB561,Daneman,liver_only,ENSG00000008283,ENSMUSG00000019590,ENSMMUG00000013412
Cyba,CYBA,Daneman,lung_only,ENSG00000051523,ENSMUSG00000006519,ENSMMUG00000053929
Cyp26b1,CYP26B1,Daneman,liver_only,ENSG00000003137,ENSMUSG00000063415,ENSMMUG00000012141
Cyp4v3,CYP4V2,Daneman,liver_only,ENSG00000145476,ENSMUSG00000079057,ENSMMUG00000011632
Cyr61,CYR61,Both,liver_only,NA,NA,NA
Daam1,DAAM1,Daneman,liver_and_lung,ENSG00000100592,ENSMUSG00000034574,ENSMMUG00000021070
Daam2,DAAM2,Daneman,liver_and_lung,ENSG00000146122,ENSMUSG00000040260,ENSMMUG00000019072
Dab2,DAB2,Daneman,lung_only,ENSG00000153071,ENSMUSG00000022150,ENSMMUG00000019879
Dab2ip,DAB2IP,Daneman,liver_only,ENSG00000136848,ENSMUSG00000026883,ENSMMUG00000004639
Dad1,DAD1,Daneman,lung_only,ENSG00000129562,ENSMUSG00000022174,ENSMMUG00000000830
Dagla,DAGLA,Munji,NA,ENSG00000134780,ENSMUSG00000035735,ENSMMUG00000049301
Dars,DARS,Daneman,lung_only,NA,NA,NA
Dbp,DBP,Daneman,liver_only,ENSG00000105516,ENSMUSG00000059824,ENSMMUG00000022160
Dcbld1,DCBLD1,Daneman,lung_only,ENSG00000164465,ENSMUSG00000019891,ENSMMUG00000017558
Dcbld2,DCBLD2,Daneman,liver_only,ENSG00000057019,ENSMUSG00000035107,ENSMMUG00000017438
Dck,DCK,Daneman,lung_only,ENSG00000156136,ENSMUSG00000029366,ENSMMUG00000030280
Dcun1d3,DCUN1D3,Both,liver_only,ENSG00000188215,ENSMUSG00000048787,ENSMMUG00000051397
Ddah2,DDAH2,Daneman,lung_only,ENSG00000227317,NA,NA
Ddah2,DDAH2,Daneman,lung_only,ENSG00000226634,NA,NA
Ddah2,DDAH2,Daneman,lung_only,ENSG00000228128,NA,NA
Ddah2,DDAH2,Daneman,lung_only,ENSG00000233076,NA,NA
Ddah2,DDAH2,Daneman,lung_only,ENSG00000206395,NA,NA
Ddah2,DDAH2,Daneman,lung_only,ENSG00000225635,NA,NA
Ddah2,DDAH2,Daneman,lung_only,ENSG00000213722,ENSMUSG00000007039,ENSMMUG00000044472
Ddc,DDC,Both,liver_only,ENSG00000132437,ENSMUSG00000020182,ENSMMUG00000019991
Ddi1,DDI1,Munji,NA,ENSG00000170967,ENSMUSG00000047619,ENSMMUG00000042509
Ddx1,DDX1,Daneman,lung_only,ENSG00000079785,ENSMUSG00000037149,ENSMMUG00000023437
Ddx19a,DDX19A,Daneman,lung_only,ENSG00000168872,ENSMUSG00000015023,ENSMMUG00000020316
Ddx39,DDX39A,Daneman,lung_only,ENSG00000123136,ENSMUSG00000005481,ENSMMUG00000005723
Def6,DEF6,Munji,NA,ENSG00000023892,ENSMUSG00000002257,ENSMMUG00000023560
Degs1,DEGS1,Daneman,lung_only,ENSG00000143753,ENSMUSG00000038768,ENSMMUG00000002400
Degs1,DEGS1,Daneman,lung_only,ENSG00000143753,ENSMUSG00000038633,ENSMMUG00000002400
Degs2,DEGS2,Both,liver_only,ENSG00000168350,ENSMUSG00000021263,ENSMMUG00000062581
Dennd2a,DENND2A,Daneman,liver_and_lung,ENSG00000146966,ENSMUSG00000038456,ENSMMUG00000042299
Dera,DERA,Daneman,lung_only,ENSG00000023697,ENSMUSG00000030225,ENSMMUG00000013309
Dhcr7,DHCR7,Munji,NA,ENSG00000172893,ENSMUSG00000058454,ENSMMUG00000011976
Diap1,DIAPH1,Daneman,liver_only,ENSG00000131504,ENSMUSG00000024456,ENSMMUG00000021964
Dixdc1,DIXDC1,Both,liver_only,ENSG00000150764,ENSMUSG00000032064,ENSMMUG00000017565
Dll1,DLL1,Daneman,liver_only,ENSG00000275555,NA,NA
Dll1,DLL1,Daneman,liver_only,ENSG00000198719,ENSMUSG00000014773,ENSMMUG00000021144
Dll4,DLL4,Daneman,lung_only,ENSG00000128917,ENSMUSG00000027314,ENSMMUG00000014541
Dmd,DMD,Daneman,liver_and_lung,ENSG00000198947,ENSMUSG00000045103,ENSMMUG00000019345
Dmxl2,DMXL2,Daneman,liver_only,ENSG00000104093,ENSMUSG00000041268,ENSMMUG00000000754
Dnaja4,DNAJA4,Daneman,liver_only,ENSG00000140403,ENSMUSG00000032285,ENSMMUG00000014204
Dnajb1,DNAJB1,Daneman,liver_only,ENSG00000132002,ENSMUSG00000005483,ENSMMUG00000017906
Dnajc14,DNAJC14,Munji,NA,ENSG00000135392,ENSMUSG00000025354,ENSMMUG00000062702
Dnajc14,DNAJC14,Munji,NA,ENSG00000135392,ENSMUSG00000025354,ENSMMUG00000006293
Dnmt3b,DNMT3B,Daneman,lung_only,ENSG00000088305,ENSMUSG00000082079,ENSMMUG00000019474
Dnmt3b,DNMT3B,Daneman,lung_only,ENSG00000088305,ENSMUSG00000027478,ENSMMUG00000019474
Dock10,DOCK10,Daneman,liver_and_lung,ENSG00000135905,ENSMUSG00000038608,ENSMMUG00000018139
Dock11,DOCK11,Daneman,lung_only,ENSG00000147251,ENSMUSG00000031093,ENSMMUG00000011498
Dok4,DOK4,Daneman,lung_only,ENSG00000125170,ENSMUSG00000040631,ENSMMUG00000020475
Dsp,DSP,Daneman,liver_only,ENSG00000096696,ENSMUSG00000054889,ENSMMUG00000014784
Dusp2,DUSP2,Daneman,lung_only,ENSG00000158050,ENSMUSG00000027368,ENSMMUG00000049314
Dusp4,DUSP4,Daneman,lung_only,ENSG00000120875,ENSMUSG00000031530,ENSMMUG00000049727
Dusp6,DUSP6,Munji,NA,ENSG00000139318,ENSMUSG00000019960,ENSMMUG00000054968
Dut,DUT,Daneman,lung_only,ENSG00000128951,ENSMUSG00000027203,ENSMMUG00000059727
Dut,DUT,Daneman,lung_only,ENSG00000128951,ENSMUSG00000027203,ENSMMUG00000016898
Dvl1,DVL1,Daneman,liver_only,ENSG00000107404,ENSMUSG00000029071,ENSMMUG00000007109
Dvl3,DVL3,Munji,NA,ENSG00000161202,ENSMUSG00000003233,ENSMMUG00000006553
Dyrk2,DYRK2,Daneman,lung_only,ENSG00000127334,ENSMUSG00000028630,ENSMMUG00000011650
Dysf,DYSF,Daneman,lung_only,ENSG00000135636,ENSMUSG00000033788,ENSMMUG00000007176
Ebf1,EBF1,Daneman,liver_only,ENSG00000164330,ENSMUSG00000057098,ENSMMUG00000021696
Edn1,EDN1,Daneman,liver_only,ENSG00000078401,ENSMUSG00000021367,ENSMMUG00000051532
Edn3,EDN3,Munji,NA,ENSG00000124205,ENSMUSG00000027524,ENSMMUG00000016131
Ednra,EDNRA,Daneman,liver_and_lung,ENSG00000151617,ENSMUSG00000031616,ENSMMUG00000003659
Eef2,EEF2,Daneman,lung_only,ENSG00000167658,ENSMUSG00000034994,ENSMMUG00000022767
Efhc2,EFHC2,Munji,NA,ENSG00000183690,ENSMUSG00000025038,ENSMMUG00000016391
Efhd2,EFHD2,Daneman,liver_and_lung,ENSG00000142634,ENSMUSG00000040659,ENSMMUG00000050246
Efnb1,EFNB1,Daneman,liver_only,ENSG00000090776,ENSMUSG00000031217,ENSMMUG00000020965
Efr3b,EFR3B,Munji,NA,ENSG00000084710,ENSMUSG00000020658,ENSMMUG00000016461
Eftud2,EFTUD2,Munji,NA,ENSG00000108883,ENSMUSG00000020929,ENSMMUG00000013118
Egfl8,EGFL8,Daneman,lung_only,ENSG00000240389,NA,NA
Egfl8,EGFL8,Daneman,lung_only,ENSG00000239974,NA,NA
Egfl8,EGFL8,Daneman,lung_only,ENSG00000242038,NA,NA
Egfl8,EGFL8,Daneman,lung_only,ENSG00000240592,NA,NA
Egfl8,EGFL8,Daneman,lung_only,ENSG00000243897,NA,NA
Egfl8,EGFL8,Daneman,lung_only,ENSG00000244444,NA,NA
Egfl8,EGFL8,Daneman,lung_only,ENSG00000241404,ENSMUSG00000015467,NA
Egr3,EGR3,Munji,NA,ENSG00000179388,ENSMUSG00000033730,ENSMMUG00000058396
Eif2b2,EIF2B2,Daneman,lung_only,ENSG00000119718,ENSMUSG00000004788,ENSMMUG00000002910
Eif2s2,EIF2S2,Daneman,lung_only,ENSG00000125977,ENSMUSG00000074656,ENSMMUG00000018095
Eif4a1,EIF4A1,Daneman,lung_only,ENSG00000161960,ENSMUSG00000059796,ENSMMUG00000056722
Eif4e2,EIF4E2,Daneman,lung_only,ENSG00000135930,ENSMUSG00000026254,ENSMMUG00000022151
Eif4e2,EIF4E2,Daneman,lung_only,ENSG00000135930,ENSMUSG00000026254,ENSMMUG00000046892
Eif5,EIF5,Daneman,liver_only,ENSG00000100664,ENSMUSG00000021282,ENSMMUG00000005630
Eif5a,EIF5A,Daneman,lung_only,ENSG00000288145,NA,NA
Eif5a,EIF5A,Daneman,lung_only,ENSG00000132507,ENSMUSG00000078812,ENSMMUG00000006206
Elavl1,ELAVL1,Daneman,liver_and_lung,ENSG00000066044,ENSMUSG00000040028,ENSMMUG00000006544
Elovl6,ELOVL6,Daneman,lung_only,ENSG00000170522,ENSMUSG00000041220,ENSMMUG00000050694
Elovl7,ELOVL7,Both,liver_only,ENSG00000164181,ENSMUSG00000021696,ENSMMUG00000014211
Eltd1,ELTD1,Daneman,liver_only,NA,NA,NA
Eml2,EML2,Munji,NA,ENSG00000125746,ENSMUSG00000040811,ENSMMUG00000038377
Emp2,EMP2,Daneman,liver_only,ENSG00000213853,ENSMUSG00000022505,ENSMMUG00000060713
Enc1,ENC1,Munji,NA,ENSG00000171617,ENSMUSG00000041773,ENSMMUG00000019996
Enpep,ENPEP,Daneman,liver_and_lung,ENSG00000138792,ENSMUSG00000028024,ENSMMUG00000005517
Enpp4,ENPP4,Daneman,liver_only,ENSG00000001561,ENSMUSG00000023961,ENSMMUG00000042260
Eny2,ENY2,Daneman,lung_only,ENSG00000120533,ENSMUSG00000022338,ENSMMUG00000056202
Epb4.1l2,EPB41L2,Daneman,liver_and_lung,ENSG00000079819,ENSMUSG00000019978,ENSMMUG00000007758
Epc1,EPC1,Daneman,liver_only,ENSG00000120616,ENSMUSG00000024240,ENSMMUG00000012451
Epc2,EPC2,Daneman,liver_only,ENSG00000135999,ENSMUSG00000069495,ENSMMUG00000023176
Epha4,EPHA4,Daneman,liver_only,ENSG00000116106,ENSMUSG00000026235,ENSMMUG00000012364
Ephx1,EPHX1,Daneman,liver_only,ENSG00000143819,ENSMUSG00000038776,ENSMMUG00000005782
Eps8,EPS8,Daneman,liver_and_lung,ENSG00000151491,ENSMUSG00000015766,ENSMMUG00000020431
Eps8l2,EPS8L2,Daneman,liver_only,ENSG00000177106,ENSMUSG00000025504,ENSMMUG00000017483
Erg,ERG,Munji,NA,ENSG00000157554,ENSMUSG00000040732,ENSMMUG00000010296
Erh,ERH,Daneman,lung_only,ENSG00000100632,ENSMUSG00000063412,ENSMMUG00000021571
Erh,ERH,Daneman,lung_only,ENSG00000100632,ENSMUSG00000021131,ENSMMUG00000021571
Ern1,ERN1,Daneman,liver_only,ENSG00000178607,ENSMUSG00000020715,ENSMMUG00000015185
Ero1lb,ERO1LB,Daneman,liver_only,NA,NA,NA
Erp29,ERP29,Daneman,lung_only,ENSG00000089248,ENSMUSG00000029616,ENSMMUG00000054840
Erp29,ERP29,Daneman,lung_only,ENSG00000089248,ENSMUSG00000029616,ENSMMUG00000037458
Esco1,ESCO1,Daneman,liver_only,ENSG00000141446,ENSMUSG00000024293,ENSMMUG00000012987
Esm1,ESM1,Daneman,lung_only,ENSG00000164283,ENSMUSG00000042379,ENSMMUG00000020169
Esyt2,ESYT2,Munji,NA,ENSG00000117868,ENSMUSG00000021171,ENSMMUG00000022361
Etf1,ETF1,Daneman,lung_only,ENSG00000120705,ENSMUSG00000024360,ENSMMUG00000005871
Etv1,ETV1,Daneman,liver_and_lung,ENSG00000006468,ENSMUSG00000004151,ENSMMUG00000039167
Evl,EVL,Daneman,lung_only,ENSG00000196405,ENSMUSG00000021262,ENSMMUG00000015434
Evpl,EVPL,Munji,NA,ENSG00000167880,ENSMUSG00000034282,ENSMMUG00000001790
Exoc8,EXOC8,Daneman,liver_and_lung,ENSG00000116903,ENSMUSG00000074030,ENSMMUG00000005243
Ext1,EXT1,Daneman,lung_only,ENSG00000182197,ENSMUSG00000061731,ENSMMUG00000008635
Extl3,EXTL3,Munji,NA,ENSG00000012232,ENSMUSG00000021978,ENSMMUG00000017700
Ezh1,EZH1,Daneman,liver_only,ENSG00000108799,ENSMUSG00000006920,ENSMMUG00000006093
Ezh2,EZH2,Daneman,lung_only,ENSG00000106462,ENSMUSG00000029687,ENSMMUG00000013494
F2r,F2R,Daneman,lung_only,ENSG00000181104,ENSMUSG00000048376,ENSMMUG00000039522
F5,F5,Munji,NA,ENSG00000198734,ENSMUSG00000026579,ENSMMUG00000042510
Fabp5,FABP5,Daneman,lung_only,ENSG00000164687,ENSMUSG00000027533,NA
Fabp7,FABP7,Daneman,lung_only,ENSG00000164434,ENSMUSG00000019874,ENSMMUG00000064586
Fads1,FADS1,Daneman,lung_only,ENSG00000149485,ENSMUSG00000010663,ENSMMUG00000013798
Fads2,FADS2,Daneman,lung_only,ENSG00000134824,ENSMUSG00000024665,ENSMMUG00000000327
Fads3,FADS3,Daneman,liver_and_lung,ENSG00000221968,ENSMUSG00000024664,ENSMMUG00000000328
Faim,FAIM,Munji,NA,ENSG00000158234,ENSMUSG00000032463,ENSMMUG00000008664
Faim,FAIM,Munji,NA,ENSG00000158234,ENSMUSG00000096316,ENSMMUG00000008664
Grrp1,FAM110D,Daneman,liver_only,ENSG00000197245,ENSMUSG00000050105,ENSMMUG00000045223
Fam118a,FAM118A,Munji,NA,ENSG00000100376,ENSMUSG00000022434,ENSMMUG00000023003
Fam129b,FAM129B,Munji,NA,NA,NA,NA
Fam134c,FAM134C,Munji,NA,NA,NA,NA
Fam13c,FAM13C,Munji,NA,ENSG00000148541,ENSMUSG00000043259,ENSMMUG00000003706
Fam63a,FAM63A,Munji,NA,NA,NA,NA
Fam71a,FAM71A,Munji,NA,NA,NA,NA
Far2,FAR2,Munji,NA,ENSG00000064763,ENSMUSG00000030303,ENSMMUG00000015810
Farp2,FARP2,Munji,NA,ENSG00000006607,ENSMUSG00000034066,ENSMMUG00000001313
Fars2,FARS2,Daneman,lung_only,ENSG00000145982,ENSMUSG00000021420,ENSMMUG00000016352
Fbln1,FBLN1,Daneman,lung_only,ENSG00000077942,ENSMUSG00000006369,ENSMMUG00000002424
Fbln5,FBLN5,Daneman,lung_only,ENSG00000140092,ENSMUSG00000021186,ENSMMUG00000008447
Fbxl18,FBXL18,Munji,NA,ENSG00000155034,ENSMUSG00000066640,NA
Fbxo22,FBXO22,Daneman,liver_only,ENSG00000167196,ENSMUSG00000032309,NA
Fbxo7,FBXO7,Daneman,liver_only,ENSG00000100225,ENSMUSG00000001786,ENSMMUG00000006728
Fcho2,FCHO2,Daneman,liver_only,ENSG00000157107,ENSMUSG00000041685,ENSMMUG00000015422
Fdft1,FDFT1,Daneman,lung_only,ENSG00000284967,NA,NA
Fdft1,FDFT1,Daneman,lung_only,ENSG00000079459,ENSMUSG00000021273,ENSMMUG00000054351
Fgf13,FGF13,Munji,NA,ENSG00000129682,ENSMUSG00000031137,NA
Fgfr3,FGFR3,Daneman,liver_only,ENSG00000068078,ENSMUSG00000054252,ENSMMUG00000019945
Fhl1,FHL1,Daneman,liver_only,ENSG00000022267,ENSMUSG00000050035,ENSMMUG00000007922
Fhl1,FHL1,Daneman,liver_only,ENSG00000022267,ENSMUSG00000023092,ENSMMUG00000007922
Filip1,FILIP1,Daneman,liver_only,ENSG00000118407,ENSMUSG00000034898,ENSMMUG00000019275
Fkbp10,FKBP10,Daneman,lung_only,ENSG00000141756,ENSMUSG00000001555,ENSMMUG00000013054
Fkbp1a,FKBP1A,Daneman,lung_only,ENSG00000088832,ENSMUSG00000032966,ENSMMUG00000015996
Flna,FLNA,Daneman,liver_and_lung,ENSG00000196924,ENSMUSG00000031328,ENSMMUG00000013668
Flt1,FLT1,Both,liver_only,ENSG00000102755,ENSMUSG00000029648,ENSMMUG00000021538
Flt3l,FLT3LG,Munji,NA,ENSG00000090554,ENSMUSG00000110206,ENSMMUG00000051892
Mfsd7c,FLVCR2,Munji,NA,ENSG00000119686,ENSMUSG00000034258,ENSMMUG00000017665
Fmo1,FMO1,Daneman,liver_only,ENSG00000010932,ENSMUSG00000040181,ENSMMUG00000005069
Fmo2,FMO2,Daneman,liver_only,ENSG00000094963,ENSMUSG00000040170,ENSMMUG00000019727
Fndc3a,FNDC3A,Daneman,liver_only,ENSG00000102531,ENSMUSG00000033487,ENSMMUG00000023756
Fndc4,FNDC4,Munji,NA,ENSG00000115226,ENSMUSG00000038552,ENSMMUG00000005101
Fosb,FOSB,Munji,NA,ENSG00000125740,ENSMUSG00000003545,ENSMMUG00000014430
Foxc1,FOXC1,Munji,NA,ENSG00000054598,ENSMUSG00000050295,ENSMMUG00000005778
Foxf2,FOXF2,Munji,NA,ENSG00000137273,ENSMUSG00000038402,ENSMMUG00000004540
Foxl2,FOXL2,Munji,NA,ENSG00000183770,ENSMUSG00000050397,ENSMMUG00000053063
Foxn2,FOXN2,Daneman,liver_only,ENSG00000170802,ENSMUSG00000034998,ENSMMUG00000020677
Foxo1,FOXO1,Daneman,liver_only,ENSG00000150907,ENSMUSG00000044167,ENSMMUG00000030780
Foxo3,FOXO3,Munji,NA,ENSG00000118689,ENSMUSG00000048756,ENSMMUG00000020369
Foxq1,FOXQ1,Munji,NA,ENSG00000164379,ENSMUSG00000038415,ENSMMUG00000059043
Fpgt,FPGT,Daneman,liver_only,ENSG00000254685,ENSMUSG00000053870,NA
Frem2,FREM2,Munji,NA,ENSG00000150893,ENSMUSG00000037016,ENSMMUG00000002702
Frmd4b,FRMD4B,Munji,NA,ENSG00000114541,ENSMUSG00000030064,ENSMMUG00000000387
Frmd5,FRMD5,Munji,NA,ENSG00000171877,ENSMUSG00000027238,ENSMMUG00000022777
Frmd6,FRMD6,Daneman,lung_only,ENSG00000139926,ENSMUSG00000048285,ENSMMUG00000018274
Fry,FRY,Munji,NA,ENSG00000073910,ENSMUSG00000056602,ENSMMUG00000007192
Fscn1,FSCN1,Daneman,lung_only,ENSG00000075618,ENSMUSG00000029581,ENSMMUG00000004282
Fstl1,FSTL1,Daneman,liver_and_lung,ENSG00000163430,ENSMUSG00000022816,ENSMMUG00000002925
Fuca1,FUCA1,Daneman,lung_only,ENSG00000179163,ENSMUSG00000028673,ENSMMUG00000004216
Fuca2,FUCA2,Munji,NA,ENSG00000001036,ENSMUSG00000019810,ENSMMUG00000005366
Fut8,FUT8,Munji,NA,ENSG00000033170,ENSMUSG00000021065,ENSMMUG00000013848
Fxyd5,FXYD5,Daneman,liver_only,ENSG00000089327,NA,NA
Fyco1,FYCO1,Both,liver_only,ENSG00000163820,ENSMUSG00000025241,ENSMMUG00000023585
Fyn,FYN,Daneman,lung_only,ENSG00000010810,ENSMUSG00000019843,ENSMMUG00000017017
Fzd4,FZD4,Daneman,liver_only,ENSG00000174804,ENSMUSG00000049791,ENSMMUG00000004048
Fzd6,FZD6,Munji,NA,ENSG00000164930,ENSMUSG00000022297,ENSMMUG00000019399
Gab1,GAB1,Munji,NA,ENSG00000109458,ENSMUSG00000031714,ENSMMUG00000000828
Gabarapl1,GABARAPL1,Daneman,lung_only,ENSG00000139112,ENSMUSG00000030161,ENSMMUG00000002197
Gadd45g,GADD45G,Daneman,liver_only,ENSG00000130222,ENSMUSG00000021453,ENSMMUG00000048737
Galt,GALT,Daneman,lung_only,ENSG00000213930,ENSMUSG00000036073,NA
Gart,GART,Daneman,lung_only,ENSG00000262473,NA,NA
Gart,GART,Daneman,lung_only,ENSG00000159131,ENSMUSG00000022962,ENSMMUG00000022702
Gas2l3,GAS2L3,Daneman,lung_only,ENSG00000139354,ENSMUSG00000074802,ENSMMUG00000020360
